review_no,accom_no,user_no,accom_nm,content,review_rate1,review_rate2,review_rate3
5c1b51e4,9b0057ac,1441d6c5,세인트존스 호텔,말로만 듣고 사진으로만 보던 세인트존스맘에 들었어요직원분들 응대도 좋았고 객실도 좋았구요다음에 또 가겠습니다~,100,100,100
069451be,9b0057ac,6829a36d,세인트존스 호텔,잘 놀다 갑니다 ~~,80,80,100
02d29abc,9b0057ac,46819063,세인트존스 호텔,1. 시설 : 깨끗하고 아직 건물안에 가게가 다 안들어와서 근처에많은 식당가가 없어요 왜냐면 가격 대비...내부 음식의 맛이...2. 청결: 와...할말이 없어서 도착한다면 침구를 제일 먼저 확인하세여 특히 덮는 이불은 뒤집어 보세여 밑부분 그러니 안 보이는 부분에 더러움이 있어요 새벽이 들어와서는 말도 못하고 정말 여행이 최악이 되어버렸네요 그을음 같은게 있어요,60,60,10
4f54e6f7,9b0057ac,ffbecf81,세인트존스 호텔,좋아요                                                                                                                                                                                     굿,100,100,100
4ad6b24a,9b0057ac,33222754,세인트존스 호텔,너무 좋있습니다. 다시올게요,100,100,100
c82d72b4,9b0057ac,dfd595ba,세인트존스 호텔,잘 머무르다 갑니다...,100,100,100
2f27fe4c,9b0057ac,ae98ea73,세인트존스 호텔,작년에 강릉 에 온 추억이 좋아서 다시 한번 와이프랑 강릉에 왔어요  유명한 호텔이라 즐거운 마음으로 도착했는데  역시 시설 직원 분들의 친절 객실 청결 너무너무 마음에들었어요  다음에는 주변 지인 분들과 재 방문 해야 겠어요^^,100,100,100
b7974065,9b0057ac,8b93752d,세인트존스 호텔,"세면대 청소가 제대로 이루어지지않았는지, 세면대 위 쓰레기가 있어 좀 불쾌했어요. 다른부분은 만족합니다.",80,80,80
38acd608,9b0057ac,1e6366c9,세인트존스 호텔,깔끔하게 잘 이용했습니다,100,50,70
a8b3757c,9b0057ac,dfffb1a1,세인트존스 호텔,침대 매트리스가 죽여줍니다ㅜㅜ 못일어나서 퇴실 못할뻔봤어요.........,100,100,100
4a9d034a,9b0057ac,13bcf1e3,세인트존스 호텔,깔끔하고 친절해요!,100,100,100
086e9103,9b0057ac,825ddbbc,세인트존스 호텔,뷰가 정말 조아요^^,100,100,100
b47954e4,9b0057ac,f5fd7bf4,세인트존스 호텔,"쿠폰으로 타 사이트보다 저렴하게 예약 했네요~~일단  바다랑 가깝고 주변에 편의점, 음식점들이 많아서 편하게 이용할수 있었고,객실 상태도 깨끗하고 따뜻했고 층간소음 있다는 후기가 있었던거 같은데.. 저는 크게 느끼지 못했던거 같아요~~조식이 나오는 패키지 였는데 한식(갈비탕)이라 저는 좋았어요^^ 반찬들도 다 맛있었어요ㅋ라운지바 추가해서 이용했는데 와인이 무한이라 실컷 마셨네용ㅋ아쉬운점이 있다면 치약 칫솔이 없네요ㅜ",100,100,100
07cd3779,9b0057ac,7693d6df,세인트존스 호텔,"사람3명,강아지2마리 펫룸  성수기!!!1. 강아지 추가가 안되 현장에서 35,000원 추가함!!카운터에서 펫룸 이용이 많아 강아지용품 지급불가하다고 함!!추가 비용은 다 지급하고 기분이 상함!!아무리 그래도 배변패드조차 추가안된다는 사실!!! 2.체크인 4시부터!!체크인이 4시부터라  시간 맞추어 3시40분쯤 갔는데 들어가서 놀람!! 호텔로비가 시장통인지 알았음!!셀프체인이 빠르다고 해서 갔는데 줄이 엄청!!!강아지 동반 및 강아지 추가는 셀프체크인  해도 입구 카운터가서 동의서 및 추가분 결재해야해서 시간이 오래걸림!!  3.룸!!룸은 생각보다 적음!! 룸은 깔끔한편이나 벽지가 뜯어진게 있어서 보기 안좋음! 방음이 좋지 않음.문닫고 여는소리 의자 끄는소리 심함!예민한 강아지는 짖을수 밖에 없는 상황이 될수 있을것 같음!!우리 강아지들 처음에 짖다가 적응되고 하니 짖지 않음!!!4.기타강아지 간식을 주는데 다른데로 가서 받아야 함!!닭가슴살!!조금한 봉지에 3개 들어 있었음!! 귀차니즘 있으면 매우 번거러운 일이 됨!!1층 도그파크 - 있지만 관리가 안된느낌!! 그냥 잠깐놀기편한정도펫룸 신청자는 앙팡 빵집을 지나 별도의 엘리베이터를 타야 함호텔주변밖 환경은 너무 좋음 바로 바다보고 산책하기 좋음!!주변에 강아지 동반 식당도 있고 호텔안에도 있음!!사진은 펫간식 받으러 가는곳!!안내설명",40,40,60
5ae2a3e4,9b0057ac,ec7a261c,세인트존스 호텔,ㅎㅎ 작년에 리어 올해도 방문했는데 그때나 지금이나 직원분들도 친절하시고 좋아요 ~~ 평일에 입실해서 체크인때 기다리지도 않고 빠르게 이용할 수 있었어요 ㅎㅎ 넷플릭스 티빙 웨이브도 이용할 수 있어요~~ 단 본인계정으로요 ! 엘배도 이번엔 많이 기다리지 않았고 ~ 호캉스 즐길 수 있었어요 ㅎㅎ 연박했는데 청소도 잘 해주시고 좋았어요 ㅎㅎ 수영장도 적당히 잘 이용했네요~~,100,100,100
abda5f0a,9b0057ac,25128c70,세인트존스 호텔,오션뷰 너무 좋아요~침대도 편하고 청결하고 서비스도 만족합니다.,100,100,100
80f5c799,9b0057ac,56c9a2b0,세인트존스 호텔,깔끔하고 뷰도 좋아요! 다만 방과방 사이에 방음이 별로였어요! 하지만 바로 대처해주시고 감사했습니다,100,100,100
3ce70178,9b0057ac,3f45cffd,세인트존스 호텔,주차장 지상지하 옥외로 잘 구비되어있고 객실내부 화장실 청결상태 좋아요침대 침구류 상태 최상이어서 편하게 잤어요(프라스틱 사용제한으로 일부 어메니티는 준비해서 가야해요)룸에서 보는 오션뷰는 최고👍새벽 해뜨는 모습 파도소리에 기분좋은 아침을 맞이 했어요주변 먹거리 맛집 커피숍 즐비해서 여행하는데동해안이 최고죠하지만!!!!많은 객실수에 비해 엘레베이터가 터무니없이 부족해서체크인아웃이나  혼잡시  정말 오래기다려야해서 불편했구요 왜 엘베에 층간표시가  안되어 있어 내려오는지 얼마나 기다려야하는지 성질급한 1인으로서 욱했어요ㅜㅜ비상구를 찾다가 안보여서 만일...,100,100,100
4f3a2f84,9b0057ac,7d67b1ee,세인트존스 호텔,호텔이라 편의시설 다 갖추고 있어서 좋았습니다. 방이 조금 좁긴했으나 사용하는데 큰 불편은 없었습니다. 어메니티는 향도 좋고 사용감도 좋았습니다.,100,80,80
60a5ef72,9b0057ac,a65fc256,세인트존스 호텔,역시 유명한 호텔답게 너무 너무 너무 좋았습니다추석연휴라 성수기값으로 비싸긴했지만 직원들은 친절하고 객실도 이쁘고객실자체도 깨끗하고 딱 두명이서 머물기 좋은 방이였습니다 무엇보다 침대느낌이 너무 좋아요 이불도 두께가딱 적당하니 좋아서 잠도 편안히 잘 잠들었습니다침대에서 떨어지고싶지가않았어요ㅎ다만 단점은 베란다가 좀 더러운점ㅠ 또한 어메니티가 드라이기빼고는 하나도 없다는거ㅠㅠ그게 하나 아쉽습니다 사람이 너무 많아서 엘베가늦은 게 또 단점이지만 그래도 호텔자체는 맘에들어서 비수기때 또 오고싶네요ㅎㅎ,100,100,100
a5473422,9b0057ac,6122a047,세인트존스 호텔,수영장최고 놀기도좋고 사람이많긴했지만재밌엇어요,100,100,100
ea7bea6c,9b0057ac,284dd3c3,세인트존스 호텔,역시나 5성급답습니다시설 청결 위치 조망 다 너무 최고였어요!,100,100,100
c01d2c58,9b0057ac,0089bb36,세인트존스 호텔,"너무이쁘고 이쁘긴하나 다돈입니다 ,,, 그래도 수영장 너무이쁘네요 사우나도 있고",100,100,100
8a68687c,9b0057ac,9a3f8caa,세인트존스 호텔,프론트에서는 체크인을 받지 않았고셀프체크인 기계에 줄서서 체크인을 해야 했어요프론트 데스크의 직원들은 많았는데 굳이 고객은 기다리고 직원은 놀게 할 이유가 있을까요?굉장히 비효율적입니다그리고 환경보호를 위해 칫솔 치약 등 일회용 어메니티를 제공하지 않는다고 하는데 사전 예약 때 미리 안내사항에 기재가 되어있었으면 하고요욕실슬리퍼도 없는 건 문제가 있다고 봅니다객실 내 일회용 슬리퍼는 물론 욕실용 슬리퍼도 없습니다그리고 금연이라고는 하나 객실 내 베란다에 나가보니 바닥에 담뱃재들이 있더군요전체적으로 관리가 제대로 이루어지지 않고 있음은 분명해 보였습니다강릉에는 괜찮은 호텔들이 많이 없어 선택의 폭이 좁아 서비스의 품질에 비하면 훨씬 많은 고객들이 찾을 것 같다는 생각이 들어 아쉽네요,50,40,40
ee41fd9c,9b0057ac,82b457d2,세인트존스 호텔,가족들과 여행으로 이용했는데푹쉬다가 갑니당😄,100,100,100
6ac2b223,9b0057ac,2ee28180,세인트존스 호텔,좋아요넘깨끗하네요,100,100,100
b11b17e6,9b0057ac,ffabe739,세인트존스 호텔,시설도 깨끗하고 직원분들도 정말 친절하네요 또 오고싶어요,100,100,100
ea13e547,9b0057ac,cbd7910d,세인트존스 호텔,휴가기간만 아니면 참 좋을것 같은 호텔객실수에 비해 체크인아웃 직원이 부족해서 시간이 너무 오래걸리고 엘리베이터가 부족해서 한참 기다려야한다그외에 서비스나 호텔 시설은 만족만족다음에는 한산할때에 와야겠다,100,100,100
edae29ca,9b0057ac,d63dd207,세인트존스 호텔,세인트존스 많이 변했네요 ㅎㅎ 전에 올때는 조용하고 한적해서 바닷가 소리 듣고 했는데 날씨가 더워져서 그런지 저녁되면 밖에서 호텔 상가에서 늦게 술 드시는분들 소리 지르고 시끄럽고 거기다가 1회용으로 주던 샴프 등등 잘 정리정돈 되고 그랬는데 모텔수준 된것 같습니다 슬리퍼도 없어졌구 자판기에서 슬리퍼 사라고 하고 까운만 있고 베란다쪽은 방충망이 아에 없어서 저녁에 열어두면 벌레가 이렇게 많이 ㅎㅎ세인트존스 오픈하고 5번째 왔는데 많이 변했네요 경포대 유명한 먹을것도 없지만  그나마 시설이 깔끔하고 있는거 있고 그랬는데 많이 변했네요,50,40,80
7d3b1902,9b0057ac,a8f04e99,세인트존스 호텔,너무너무 만족스러웠던 호텔!사실 전 수영장때문에 요기를 선택하게 됐습니다 ㅎㅎ예약 후에 기존 후기를 찾아보고 주차장 문제와 체크인 시간이 오래걸린다는걸 보고 체크인 시간보다 조금 일찍 도착하여 주차장도 좋은 자리에 이용하였고 체크인시간도 생각보다 오래 걸리지 않았습니다인피니티풀은 온수풀이라 요즘같이 약간 서늘한날씨에도 추운거 하나도 모르고 놀았구요! 인생샷까지 건졌네용저는 2박3일 여행을 1박만 여기에 있었다는게 아쉬웠을정도로 만족스러웠습니다😃,100,100,100
92d416d5,9b0057ac,92742e90,세인트존스 호텔,시설이 너무 깔끔하고 좋았어요~다만 엘리베이터가 이용객수에 비해 좀 적은느낌이였어요~,100,100,100
0478de1c,9b0057ac,593ac308,세인트존스 호텔,객실청결하고 뷰좋고 기분좋게 아용했으나슬리퍼등 어메니티가 ..정말;;;;;모두 자판기로 구매를 따로해야해서 굉장히 불편했네요,100,80,100
e82562f3,9b0057ac,3beff8b1,세인트존스 호텔,"얼마전에 오션뷰로 예약하고 이용했을때 너무 만족 했거든요 시설이나,친절도 등.이번엔 파셜오션 이여서 레이크동이 되니까 동선이 왔다갔다 되긴 하네요 그래도 직원분 말씀대로 b1에 주차를 하니까 크게 불편하진 않았어요근데 이번엔 샤워기도 고장인지 물벼락을 몇번이나 맞고, 드라이기도 고장나 있고; 뷰는 파셜오션이라 확 트이진 않았지만 보는 각도에 따라 여러곳이 보이니 나쁘지 않았어요",100,60,60
6e83c61a,9b0057ac,264c0103,세인트존스 호텔,깨끗하고 조식도  맛있고 편하게 지내고 왔어요~다음에 강릉갈일 있으면 또 가고 싶어요~~,100,100,100
36b88149,9b0057ac,d7fa6d21,세인트존스 호텔,"1.부분바다 전망 호수전망반 바다전망반이었어서 둘다 볼 수 있어 좋았고 날이 좋아서 예뻤습니다. 일출은 볼 수 없는 방입니다.2.칫솔, 치약, 면봉, 폼클렌징 챙겨가세요.  비누도 없어요. 핸드워시랑 바디워시 샴푸 컨디셔너만 있음3.와인드실분 오프너챙기세요. 객실에 없음, 프론트에 전화해야함.4. 침구는 좋음5.지저분함 욕실청소는 제대로 되어있지 않아물때가 타일 사이사이에 가득했고청소를 한지 오래된 방이라고 생각이 들어 찝찝했습니다. 물때 동영상을 찍었는데 올릴수가 없어 아쉽네요.강문해변에 오면 항상 이 호텔을 사용해었고오션뷰 예약했었을때도 물때가 있긴 했었습니다. 그때는 비성수기 였고, 쓰레기도 먼지도 머리카락도 있었지만 그냥 넘어갔었는데 성수기임에도 불구하고..저희집 화장실보다 지저분하니까요^^...제가 왜..호텔까지 와서 이런 꼴을 보려고 거금을 들여야하는지 모르겠습니다. 사진은 깨끗한 곳과 물때 낀 곳의 차이를 보여주기 위해 올립니다.6.발열체크 제대로 안함. 카메라는 있지만 그걸로 한명씩 다 확인하는거 같지 않았음.",60,60,20
d8fecea5,9b0057ac,bd7197f0,세인트존스 호텔,뷰가 아주아주 예쁘고 주변 시설도 좋아요~,100,100,100
b24de676,9b0057ac,0707f103,세인트존스 호텔,"어메니티가 다소 부족하고 칫솔 물 빗 슬리퍼 등 제공 되지 않습니다. 따로 편의점에서 사와야하는 불편함이 있습니다. 충전기는 인포에 말씀드리면 빌려주셨고, 방이랑 침구, 화장실은 너무 좋았어요! 깨끗하고 무엇보다 뷰가 좋습니다. 코로나때문에 거의 방에만 있었지만 1층에 포차 한 곳 있는데 넓고 쾌적하여 분위기 좋았네요~ 바이크 빌려주는데에서 두시간 이용했는데 좋아요^^",100,90,100
364d4ef0,9b0057ac,57dce221,세인트존스 호텔,"4시 체크인 아닌가요? 3시45분쯤 갔더니 이미 체크인 대기가 130명이 넘고...일욜 숙박이었는데도 이러니...그냥 기계로 체크인 했고. 환경 생각해서 어메니티 큰통에 담아 다회용으로 쓰는것도 좋은데 코로나시국에 좀 찝찝했네요. 슬리퍼도 없어서 자판기에서 구입하라해서 그냥 맨발로 다녔네요. 호텔숙박시 헬스장 늘 이용하는데 여긴 그냥 무난했고, 부대시설도 그냥저냥. 직원들도 친절함은 보통이고 별 감흥없는 곳이네요.",40,40,40
b2ad56f4,9b0057ac,588f5663,세인트존스 호텔,"두번째 가는 호텔인데 이번에 더더더 좋았습니다!!!평일이고 비수기라 그런지 시티뷰로 바꿔주셔서 아침에 일출도 보고 베란다에서 밖을 보는 뷰가 최고였습니다!!! 방안에 침대에 누워서도 일출과 바다가 한눈에 다보였습니다^^ 13층이라 높아서 아래를 내려다 보니 수영장도 보여서 보는것만으로도 모든게 다 힐링이였습니다~ 감사합니다!!!! 방 깨끗하니 너무 편안히 잘 쉬었습니다!!!! 최대3명까지지만 기준이 2명이라 추가인원비용을 받을 줄 알았는데 안받고 3명 해주셨습니다, 모든거 다 감사드립니다^^ 다음에 또 올 의향 100%입니다, 호텔 나와서도 먹거리도 많고 걸어다니는 길도 너무 좋았습니다, 가성비 굿!!!!!",100,100,100
6db07d8c,9b0057ac,c1095fed,세인트존스 호텔,일찍 구매해서 할인 10000원 + 무료 룸 UP로 좋은 뷰의 숙소를 저렴하게 다녀왔습니다!환경을 생각한다는 취지의 일회용 어메니티가 없어서 당황스러웠지만 좋은 취지여서 기분좋고 깨끗하게 머물다갈수있었습니다,100,100,100
38be2993,9b0057ac,abc46bd0,세인트존스 호텔,좋았습니다 다음에도 강릉을 간다면 재방문의사 100%,100,100,100
9cf1e057,9b0057ac,13b780bc,세인트존스 호텔,천개가 넘는 호실이 있다보니 주차와 체크인이 혼잡스러웠습니다그 둘을 제외하곤 너무너무좋았고 인피니티 풀 또한 방문시 사람이 얼마 없어서 놀기 좋았습니다!여름엔 바로 호캉스죠 바로앞에 강문해변도 있고 아이들이 놀기좋은 야외풀장도 있으니 참고하세요~~~,100,90,90
f0e6a54a,9b0057ac,16b25e43,세인트존스 호텔,워낙 블로그와 리뷰를 많이 봐서 기대를 많이 접고 갔어요.성수기가 끝나서 인지 그냥저냥 기분좋게 이용했습니다.직원들은 교육은 필요한거 같습니다. 주차장서 차가들어와도 자기들끼리 서서 수다떨고있고 ㅎㅎ 주차장은 진짜 답없음.엘베 더 답없음. 건물설계하신분 어떤분인지 궁금할정도 입니다. ㅎㅎ 룸상태는 좋았구요. 특히 베드가 좋으네요.욕실은 새건물 치고는 붉은곰팡이 좀 낀정도?청소상태 문제겠죠? 그래도 저렴하게 사인가족 잘 쉬다가 왔어요. 참 수영장은 첨부터 포기하고 이용 안했습니다.,80,80,80
7d1ef187,9b0057ac,406c641b,세인트존스 호텔,강릉 세인트존스 호텔을 예약에 있어 고민했던 부분이 몇개 있었습니다. 1. 주차공간 협소-> 주차가 헬이라는 소리에 걱정을 했지만 비수기라 그런지 나름 수월하게 주차했습니다.2. 체크인 지연이 부분은 좀 개선된거 같습니다. 카운터에서 폰 번호를 등록하면 체크인 대기 상황을 실시간으로 확인할 수 있습니다. 생각보다 얼마 안기다렸습니다. 3. 느린 엘레베이터여전히 느립니다. 층이 9층임에도 불구하고 몇번 못참고 계단으로 내려갔습니다.끝으로 객실 컨디션은 나름 괜찮았습니다. 가장 좋었던점은 호텔 바로 앞에 소나무숲과 해변이 있어 산책하기 너무 좋습니다.,80,80,80
e4674353,9b0057ac,b8ea4e59,세인트존스 호텔,부모님이 잘 주무셧대요~~,100,100,100
75ee209e,9b0057ac,5ca3830f,세인트존스 호텔,좋은가격에 좋은시설에 편히 놀다가갑니다. 깨끗청결친절  이네용,100,100,100
0d6dbb5c,9b0057ac,40f1de63,세인트존스 호텔,파셜뷰   8만원대로   싸게  왔네요  결혼10주년으로 3박하는동안   잘지내다왔어요   뷰맛집입니다  13층배정받았고   바다코앞이라  산책하기도좋고 욕실 대만족했네요 수압도좋고 화장실 시설도 만족입니다   도착하자마자  우와 했다가   바닥보고 깜놀 청소상태가  대실망  머리카락도 너무많고  탁자도 깨져있어서 큰일날뻔했네요  ㅡㅡ; 청소하시는분이  탁자  걸레질을하셨다면 분명발건하셨을텐데   어쨌든 직원분 응대 너무친철하구요  청소는 꼭 말해놓겠다했지만  다음날도 뭐  똑같았어요베란다 창틀  벌레죽은거  먼지보고도 깜놀 숙소에만있는거아니니싸게 또갈수있음 그때또 이용할거예요 ^^3박동안날씨도 너무좋구  바다도 너무 이쁘구  좋았습니다^^,100,100,20
2c6aa032,9b0057ac,71e112ba,세인트존스 호텔,"오션뷰라서 더욱 좋았어요.깔끔한 디자인과 구조가 인상 깊었고, 직원 분들도 매우 친절하셨습니다.",100,100,100
4204c0cc,9b0057ac,a0589a25,세인트존스 호텔,반려견과 함께 잘 수 있는곳이라서 예약을 했는데요 시설이 잘 되어있고  깨끗하고 직원분들도 너무나 친절했어요 다만 아쉬움이 있다면 수영장 이용때 반려견은 안된다는 점과 조식을 이용하는데 가격면에 비해 부실한 점 그리고 공기밥이랑 반찬은 무료리필이 안된다는게 아쉽네요 그래도 잘 놀다갑니다.,60,100,100
3ceba5a6,9b0057ac,36aeab79,세인트존스 호텔,쵝고의뷰최고의서비스만족합니다.1층에는 포차를비롯한 다양한 먹거리가 즐비했구요강릉앞바다 걸어서 3분거리 해변 거리는 나무나 낭만적이었습니다주차공간도 넓었고 동역시 두동으로 나뉘어져 웅장함과 구분되는 프라이빗함이 특별함을 주며 만족도롤 높게했습니다좋은방을 배정받아 더 즐거운 여행길이었고 직원 앉내또한 너무 친절하여 다시 재방문하고픈 의사를 가지게 했습니딘암튼 굳이에요. 1층 포차사진분위기입니다,100,100,100
95502f00,9b0057ac,5607f7c9,세인트존스 호텔,무료 업그레이드되서 파셜뷰로 있었습니다.낮에 뷰가 상당히 멋있고 좋네요.싼가격에 파셜뷰로 있다가 갑니다.파셜뷰의 장점은 어쩌면 단조로울지 모를 오션뷰보다  시내와 반반으로 바다가 보인다는점 그래서 좀더 멋있게 보인다는것 단점은 일출이 안보이네요..ㅡㅡ 일출이 보일줄 알고 기다렸다가 결국은 못봤네요 ㅎㅎ 그래도 싼값에 잘 지내다가 갑니다.가격대비 강추~~ 만족합니다.,100,100,100
4ba0a261,9b0057ac,77cf67cc,세인트존스 호텔,정말 너무너무 좋았어요. 키오스크 체크인으로 한결빠르게 체크인 + 꼭대기층배정 + 파셜뷰업그레이드 이벤트ㅎㅎㅎ 너무너무 좋았네요. 청결은 말할거 앖고 침대고 너무넓어서 잠도 잘왔어요.파셜뷰는 경포호와 경포대가 동시에 보이는 장점이있어서 경치도좋고 건물들때문에 야경도 보야서좋아요. 완전 오션뷰는 밤에볼거없으니까..ㅎㅎ 그리고 누워있으면 들리는 파도소리가 너무행복했어요. 주변에 배달시켜먹을 음식도많고 너무좋았습니다. 강아지동반되서 강아지많이보였는데 그것도너무좋았고 호텔에딸린 부대시설도많아서 좋아요 또거고싶어요,100,100,100
ef9f0623,9b0057ac,4883d4d9,세인트존스 호텔,방에서도 이렇게 뷰가 잘보이고 괜히 걱정한가같습니다 너무 좋았습니다 깨끗하고~!담에 강릉에 또 가게된다면 다시 예약할꺼같습니다 완전 오션뷰가 아니라 하프오션뷰여도 정말 좋네요!!!!!ㅎㅎ하프오션뷰 고민하시는 분들도 그냥 하시면 고민하시지 마시고 그냥 예약해도 될꺼같아요 ~!그리고 주변에 편의점이랑 다 있어서 밤늦게 편의점도 열려있고 좋았어요 !일회용품고 자판기로 되어있어서 편하게 사용했습니다!,100,100,100
70849103,9b0057ac,aaf81c0e,세인트존스 호텔,갑자기 바다가 보고싶어서 강릉 가면서 예약 했는데 뷰도 너무 좋고 시설도 깔끔했구 너무 좋았어요~,100,100,100
